job title,category,education requirement,experience years,required skills,salary range,skills_list,combined_text
technical lead,Technology,Bachelor's in Computer Science,5,Leadership|Code Review|Mentoring|Architecture|Problem Solving|Communication,100-170K,"['leadership', 'code review', 'mentoring', 'architecture', 'problem solving', 'communication']",technical lead leadership code review mentoring architecture problem solving communication
data analyst,Data & Analytics,Bachelor's in Mathematics|Bachelor's in Statistics,1,SQL|Python|Excel|Tableau|Data Visualization|Statistical Analysis,60-110K,"['sql', 'python', 'excel', 'tableau', 'data visualization', 'statistical analysis']",data analyst sql python excel tableau data visualization statistical analysis
business analyst,Data & Analytics,Bachelor's in Business|Bachelor's in Computer Science,2,Requirements Gathering|SQL|Excel|Process Improvement|Documentation|Stakeholder Communication,65-120K,"['requirements gathering', 'sql', 'excel', 'process improvement', 'documentation', 'stakeholder communication']",business analyst requirements gathering sql excel process improvement documentation stakeholder communication
bi developer,Data & Analytics,Bachelor's in IT|Bachelor's in Statistics,2,Power BI|Tableau|SQL|ETL|Database Design|Data Visualization,70-130K,"['power bi', 'tableau', 'sql', 'etl', 'database design', 'data visualization']",bi developer power bi tableau sql etl database design data visualization
bi analyst,Data & Analytics,Bachelor's in Business|Bachelor's in IT,1,SQL|Tableau|Power BI|Excel|Data Analysis|Reporting,60-110K,"['sql', 'tableau', 'power bi', 'excel', 'data analysis', 'reporting']",bi analyst sql tableau power bi excel data analysis reporting
analytics engineer,Data & Analytics,Bachelor's in Engineering|Bachelor's in Computer Science,2,SQL|Python|dbt|Data Modeling|Analytics|Cloud Platforms,75-135K,"['sql', 'python', 'dbt', 'data modeling', 'analytics', 'cloud platforms']",analytics engineer sql python dbt data modeling analytics cloud platforms
accountant,Finance & Accounting,Bachelor's in Accounting|CPA or equivalent,1,Accounting Principles|QuickBooks|Excel|Financial Analysis|Tax Knowledge|GAAP,55-100K,"['accounting principles', 'quickbooks', 'excel', 'financial analysis', 'tax knowledge', 'gaap']",accountant accounting principles quickbooks excel financial analysis tax knowledge gaap
financial analyst,Finance & Accounting,Bachelor's in Finance|Bachelor's in Economics,1,Financial Modeling|Excel|Python|Statistics|Valuation|Risk Analysis,65-120K,"['financial modeling', 'excel', 'python', 'statistics', 'valuation', 'risk analysis']",financial analyst financial modeling excel python statistics valuation risk analysis
investment banking analyst,Finance & Accounting,Master's in Finance|Bachelor's in Finance,2,Financial Modeling|Valuation|Excel|Research|Communication|M&A,100-200K,"['financial modeling', 'valuation', 'excel', 'research', 'communication', 'm&a']",investment banking analyst financial modeling valuation excel research communication m a
audit manager,Finance & Accounting,Bachelor's in Accounting|CPA,5,Audit Procedures|Internal Controls|Risk Assessment|Leadership|Compliance|Communication,90-150K,"['audit procedures', 'internal controls', 'risk assessment', 'leadership', 'compliance', 'communication']",audit manager audit procedures internal controls risk assessment leadership compliance communication
tax specialist,Finance & Accounting,Bachelor's in Accounting|CPA or Tax Certification,2,Tax Law|Tax Planning|Accounting|IRS Knowledge|Software|Compliance,65-120K,"['tax law', 'tax planning', 'accounting', 'irs knowledge', 'software', 'compliance']",tax specialist tax law tax planning accounting irs knowledge software compliance
controller,Finance & Accounting,Master's in Finance|CPA,7,Leadership|Financial Reporting|Accounting|FP&A|Risk Management|Strategy,120-200K,"['leadership', 'financial reporting', 'accounting', 'fp&a', 'risk management', 'strategy']",controller leadership financial reporting accounting fp a risk management strategy
cfo,Finance & Accounting,Master's in Finance|MBA,10,Strategic Leadership|Financial Strategy|Risk Management|Board Communication|M&A|Investor Relations,150-350K,"['strategic leadership', 'financial strategy', 'risk management', 'board communication', 'm&a', 'investor relations']",cfo strategic leadership financial strategy risk management board communication m a investor relations
budget analyst,Finance & Accounting,Bachelor's in Finance|Bachelor's in Accounting,1,Budget Planning|Forecasting|Excel|Financial Analysis|Communication|Attention to Detail,55-100K,"['budget planning', 'forecasting', 'excel', 'financial analysis', 'communication', 'attention to detail']",budget analyst budget planning forecasting excel financial analysis communication attention to detail
hr manager,Human Resources,Bachelor's in HR|Bachelor's in Business,3,Recruitment|Employee Relations|Compensation|Compliance|Leadership|Communication,65-120K,"['recruitment', 'employee relations', 'compensation', 'compliance', 'leadership', 'communication']",hr manager recruitment employee relations compensation compliance leadership communication
talent acquisition specialist,Human Resources,Bachelor's in HR|Bachelor's in Business,1,Recruitment|Networking|Interviewing|Job Posting|ATS Systems|Communication,50-90K,"['recruitment', 'networking', 'interviewing', 'job posting', 'ats systems', 'communication']",talent acquisition specialist recruitment networking interviewing job posting ats systems communication
hr business partner,Human Resources,Bachelor's in HR|Master's in Business,4,Strategic HR|Business Acumen|Employee Relations|Coaching|Data Analysis|Leadership,75-130K,"['strategic hr', 'business acumen', 'employee relations', 'coaching', 'data analysis', 'leadership']",hr business partner strategic hr business acumen employee relations coaching data analysis leadership
training specialist,Human Resources,Bachelor's in HR|Bachelor's in Education,1,Training Program Development|Presentation|eLearning|Assessment|Communication|Instructional Design,55-95K,"['training program development', 'presentation', 'elearning', 'assessment', 'communication', 'instructional design']",training specialist training program development presentation elearning assessment communication instructional design
learning development manager,Human Resources,Master's in Education|Bachelor's in HR,4,Curriculum Development|Leadership|Training Design|E-Learning|Coaching|Project Management,70-125K,"['curriculum development', 'leadership', 'training design', 'e-learning', 'coaching', 'project management']",learning development manager curriculum development leadership training design e learning coaching project management
compensation benefits manager,Human Resources,Bachelor's in HR|Bachelor's in Finance,3,Compensation Strategy|Benefits Administration|Excel|Market Analysis|Compliance|Communication,70-125K,"['compensation strategy', 'benefits administration', 'excel', 'market analysis', 'compliance', 'communication']",compensation benefits manager compensation strategy benefits administration excel market analysis compliance communication
hr operations manager,Human Resources,Bachelor's in HR|Bachelor's in Business,3,HR Systems|Process Management|Compliance|Data Analysis|Leadership|Problem Solving,65-115K,"['hr systems', 'process management', 'compliance', 'data analysis', 'leadership', 'problem solving']",hr operations manager hr systems process management compliance data analysis leadership problem solving
chief people officer,Human Resources,Master's in Business|MBA,10,Strategic Leadership|Organizational Development|Culture Building|Change Management|Executive Communication|Vision Setting,130-250K,"['strategic leadership', 'organizational development', 'culture building', 'change management', 'executive communication', 'vision setting']",chief people officer strategic leadership organizational development culture building change management executive communication vision setting
marketing manager,Marketing & Sales,Bachelor's in Marketing|Bachelor's in Business,3,Campaign Management|Brand Strategy|Analytics|Budget Management|Leadership|Communication,65-120K,"['campaign management', 'brand strategy', 'analytics', 'budget management', 'leadership', 'communication']",marketing manager campaign management brand strategy analytics budget management leadership communication
digital marketing manager,Marketing & Sales,Bachelor's in Marketing|Digital Marketing Certification,2,SEO|SEM|Social Media|Analytics|Content Strategy|Email Marketing,60-110K,"['seo', 'sem', 'social media', 'analytics', 'content strategy', 'email marketing']",digital marketing manager seo sem social media analytics content strategy email marketing
seo specialist,Marketing & Sales,Bachelor's in Marketing|SEO Certification,1,SEO|Keyword Research|Technical SEO|Analytics|Content Optimization|Backlink Strategy,50-90K,"['seo', 'keyword research', 'technical seo', 'analytics', 'content optimization', 'backlink strategy']",seo specialist seo keyword research technical seo analytics content optimization backlink strategy
content marketing manager,Marketing & Sales,Bachelor's in Marketing|Bachelor's in Communications,2,Content Strategy|Writing|SEO|Analytics|Project Management|Research,55-100K,"['content strategy', 'writing', 'seo', 'analytics', 'project management', 'research']",content marketing manager content strategy writing seo analytics project management research
social media manager,Marketing & Sales,Bachelor's in Marketing|Bachelor's in Communications,1,Social Media Strategy|Content Creation|Community Management|Analytics|Copywriting|Platform Knowledge,45-85K,"['social media strategy', 'content creation', 'community management', 'analytics', 'copywriting', 'platform knowledge']",social media manager social media strategy content creation community management analytics copywriting platform knowledge
email marketing specialist,Marketing & Sales,Bachelor's in Marketing,1,Email Campaign Management|Segmentation|A/B Testing|Analytics|Copywriting|Automation Platforms,50-90K,"['email campaign management', 'segmentation', 'a', 'b testing', 'analytics', 'copywriting', 'automation platforms']",email marketing specialist email campaign management segmentation a b testing analytics copywriting automation platforms
product manager,Marketing & Sales,Bachelor's in Business|Master's in Business,3,Product Strategy|Market Analysis|User Research|Data Analysis|Leadership|Communication,90-160K,"['product strategy', 'market analysis', 'user research', 'data analysis', 'leadership', 'communication']",product manager product strategy market analysis user research data analysis leadership communication
product marketing manager,Marketing & Sales,Bachelor's in Marketing|Bachelor's in Business,2,Product Strategy|Market Research|Positioning|Messaging|Campaign Management|Analytics,75-130K,"['product strategy', 'market research', 'positioning', 'messaging', 'campaign management', 'analytics']",product marketing manager product strategy market research positioning messaging campaign management analytics
sales manager,Marketing & Sales,Bachelor's in Business|Bachelor's in Sales,3,Sales Strategy|Team Leadership|CRM|Negotiation|Target Setting|Communication,70-130K,"['sales strategy', 'team leadership', 'crm', 'negotiation', 'target setting', 'communication']",sales manager sales strategy team leadership crm negotiation target setting communication
sales executive,Marketing & Sales,Bachelor's in Business|Bachelor's in Marketing,1,Selling|Negotiation|Client Relationships|CRM|Product Knowledge|Communication,50-100K,"['selling', 'negotiation', 'client relationships', 'crm', 'product knowledge', 'communication']",sales executive selling negotiation client relationships crm product knowledge communication
account executive,Marketing & Sales,Bachelor's in Business|Bachelor's in Communications,1,Account Management|Sales|Relationship Building|CRM|Negotiation|Product Knowledge,55-105K,"['account management', 'sales', 'relationship building', 'crm', 'negotiation', 'product knowledge']",account executive account management sales relationship building crm negotiation product knowledge
business development manager,Marketing & Sales,Bachelor's in Business|Master's in Business,3,Business Development Strategy|Networking|Sales|Negotiation|Market Analysis|Communication,70-130K,"['business development strategy', 'networking', 'sales', 'negotiation', 'market analysis', 'communication']",business development manager business development strategy networking sales negotiation market analysis communication
marketing director,Marketing & Sales,Master's in Marketing|MBA,7,Strategic Marketing|Leadership|Budget Management|Brand Strategy|Analytics|Team Management,110-190K,"['strategic marketing', 'leadership', 'budget management', 'brand strategy', 'analytics', 'team management']",marketing director strategic marketing leadership budget management brand strategy analytics team management
chief marketing officer,Marketing & Sales,MBA|Master's in Marketing,10,Strategic Leadership|Brand Vision|Executive Communication|P&L Management|Market Strategy|Team Leadership,150-300K,"['strategic leadership', 'brand vision', 'executive communication', 'p&l management', 'market strategy', 'team leadership']",chief marketing officer strategic leadership brand vision executive communication p l management market strategy team leadership
cmo,Marketing & Sales,MBA,10,Strategic Leadership|Brand Management|Executive Communication|Market Intelligence|Digital Transformation|Vision,150-300K,"['strategic leadership', 'brand management', 'executive communication', 'market intelligence', 'digital transformation', 'vision']",cmo strategic leadership brand management executive communication market intelligence digital transformation vision
operations manager,Operations & Supply Chain,Bachelor's in Operations Management|Bachelor's in Business,3,Process Management|Efficiency Optimization|Leadership|Quality Control|Project Management|Data Analysis,65-120K,"['process management', 'efficiency optimization', 'leadership', 'quality control', 'project management', 'data analysis']",operations manager process management efficiency optimization leadership quality control project management data analysis
supply chain manager,Operations & Supply Chain,Bachelor's in Supply Chain Management|Bachelor's in Logistics,3,Supply Chain Strategy|Procurement|Vendor Management|Forecasting|Inventory Management|Analytics,70-130K,"['supply chain strategy', 'procurement', 'vendor management', 'forecasting', 'inventory management', 'analytics']",supply chain manager supply chain strategy procurement vendor management forecasting inventory management analytics
logistics manager,Operations & Supply Chain,Bachelor's in Logistics|Bachelor's in Business,2,Logistics Planning|Distribution|Fleet Management|Cost Optimization|Supplier Management|Software,60-115K,"['logistics planning', 'distribution', 'fleet management', 'cost optimization', 'supplier management', 'software']",logistics manager logistics planning distribution fleet management cost optimization supplier management software
warehouse manager,Operations & Supply Chain,Bachelor's in Logistics|High School with experience,2,Warehouse Management|Inventory Control|Staff Management|Safety|Organization|Problem Solving,55-95K,"['warehouse management', 'inventory control', 'staff management', 'safety', 'organization', 'problem solving']",warehouse manager warehouse management inventory control staff management safety organization problem solving
quality assurance manager,Operations & Supply Chain,Bachelor's in Engineering|Quality Certification,3,Quality Management|Process Improvement|Statistical Analysis|Compliance|Leadership|Problem Solving,65-120K,"['quality management', 'process improvement', 'statistical analysis', 'compliance', 'leadership', 'problem solving']",quality assurance manager quality management process improvement statistical analysis compliance leadership problem solving
process improvement manager,Operations & Supply Chain,Bachelor's in Engineering|Bachelor's in Business,3,Lean Manufacturing|Six Sigma|Process Analysis|Data Analysis|Leadership|Change Management,68-125K,"['lean manufacturing', 'six sigma', 'process analysis', 'data analysis', 'leadership', 'change management']",process improvement manager lean manufacturing six sigma process analysis data analysis leadership change management
procurement manager,Operations & Supply Chain,Bachelor's in Business|Bachelor's in Supply Chain,3,Procurement Strategy|Vendor Management|Negotiation|Cost Analysis|Compliance|Strategic Sourcing,70-130K,"['procurement strategy', 'vendor management', 'negotiation', 'cost analysis', 'compliance', 'strategic sourcing']",procurement manager procurement strategy vendor management negotiation cost analysis compliance strategic sourcing
demand planner,Operations & Supply Chain,Bachelor's in Operations|Bachelor's in Analytics,2,Demand Forecasting|Statistical Analysis|ERP Systems|Supply Planning|Data Analysis|Excel,60-110K,"['demand forecasting', 'statistical analysis', 'erp systems', 'supply planning', 'data analysis', 'excel']",demand planner demand forecasting statistical analysis erp systems supply planning data analysis excel
production manager,Operations & Supply Chain,Bachelor's in Engineering|Bachelor's in Operations,3,Production Planning|Staff Management|Quality Control|Equipment Maintenance|Safety|Problem Solving,65-120K,"['production planning', 'staff management', 'quality control', 'equipment maintenance', 'safety', 'problem solving']",production manager production planning staff management quality control equipment maintenance safety problem solving
mechanical engineer,Engineering & Manufacturing,Bachelor's in Mechanical Engineering,1,CAD|Mechanical Design|Physics|Thermodynamics|Problem Solving|Technical Documentation,65-125K,"['cad', 'mechanical design', 'physics', 'thermodynamics', 'problem solving', 'technical documentation']",mechanical engineer cad mechanical design physics thermodynamics problem solving technical documentation
civil engineer,Engineering & Manufacturing,Bachelor's in Civil Engineering,2,CAD|Project Management|Structural Analysis|Building Codes|AutoCAD|Technical Design,65-125K,"['cad', 'project management', 'structural analysis', 'building codes', 'autocad', 'technical design']",civil engineer cad project management structural analysis building codes autocad technical design
electrical engineer,Engineering & Manufacturing,Bachelor's in Electrical Engineering,2,Circuit Design|Electrical Systems|CAD|Power Systems|Troubleshooting|Technical Knowledge,70-130K,"['circuit design', 'electrical systems', 'cad', 'power systems', 'troubleshooting', 'technical knowledge']",electrical engineer circuit design electrical systems cad power systems troubleshooting technical knowledge
electronics engineer,Engineering & Manufacturing,Bachelor's in Electronics Engineering,1,Circuit Design|Embedded Systems|Microcontrollers|CAD|Hardware Design|PCB Design,65-120K,"['circuit design', 'embedded systems', 'microcontrollers', 'cad', 'hardware design', 'pcb design']",electronics engineer circuit design embedded systems microcontrollers cad hardware design pcb design
embedded systems engineer,Engineering & Manufacturing,Bachelor's in Electronics Engineering|Bachelor's in Computer Engineering,2,C/C++|Embedded Linux|Hardware|Microcontrollers|Real-time Systems|Low-level Programming,70-130K,"['c', 'c++', 'embedded linux', 'hardware', 'microcontrollers', 'real-time systems', 'low-level programming']",embedded systems engineer c c embedded linux hardware microcontrollers real time systems low level programming
chemical engineer,Engineering & Manufacturing,Bachelor's in Chemical Engineering,2,Chemical Processes|Safety|Data Analysis|Thermochemistry|Process Design|Laboratory Skills,70-135K,"['chemical processes', 'safety', 'data analysis', 'thermochemistry', 'process design', 'laboratory skills']",chemical engineer chemical processes safety data analysis thermochemistry process design laboratory skills
manufacturing engineer,Engineering & Manufacturing,Bachelor's in Manufacturing Engineering|Bachelor's in Mechanical Engineering,2,Process Design|CAD|Production Planning|Quality Control|Problem Solving|Equipment Knowledge,65-120K,"['process design', 'cad', 'production planning', 'quality control', 'problem solving', 'equipment knowledge']",manufacturing engineer process design cad production planning quality control problem solving equipment knowledge
automotive engineer,Engineering & Manufacturing,Bachelor's in Automotive Engineering|Bachelor's in Mechanical Engineering,2,CAD|Vehicle Systems|Thermal Systems|Materials|Testing|Problem Solving,70-130K,"['cad', 'vehicle systems', 'thermal systems', 'materials', 'testing', 'problem solving']",automotive engineer cad vehicle systems thermal systems materials testing problem solving
aerospace engineer,Engineering & Manufacturing,Bachelor's in Aerospace Engineering,2,CAD|Aerodynamics|Structural Analysis|MATLAB|Physics|Design,75-140K,"['cad', 'aerodynamics', 'structural analysis', 'matlab', 'physics', 'design']",aerospace engineer cad aerodynamics structural analysis matlab physics design
environmental engineer,Engineering & Manufacturing,Bachelor's in Environmental Engineering,2,Environmental Assessment|Regulations|Water Systems|Waste Management|Sustainability|Analysis,65-125K,"['environmental assessment', 'regulations', 'water systems', 'waste management', 'sustainability', 'analysis']",environmental engineer environmental assessment regulations water systems waste management sustainability analysis
structural engineer,Engineering & Manufacturing,Bachelor's in Civil Engineering,3,Structural Analysis|CAD|Building Codes|Materials|Calculations|Design,70-135K,"['structural analysis', 'cad', 'building codes', 'materials', 'calculations', 'design']",structural engineer structural analysis cad building codes materials calculations design
project engineer,Engineering & Manufacturing,Bachelor's in Engineering,2,Project Management|Technical Knowledge|Documentation|Coordination|Problem Solving|Communication,65-120K,"['project management', 'technical knowledge', 'documentation', 'coordination', 'problem solving', 'communication']",project engineer project management technical knowledge documentation coordination problem solving communication
project manager,Construction & Real Estate,Bachelor's in Project Management|Bachelor's in Business,3,Project Management|Budget Control|Timeline Management|Team Leadership|Risk Management|Communication,70-130K,"['project management', 'budget control', 'timeline management', 'team leadership', 'risk management', 'communication']",project manager project management budget control timeline management team leadership risk management communication
construction manager,Construction & Real Estate,Bachelor's in Construction Management,3,Project Management|Construction Knowledge|Safety|Budget Control|Contractor Management|Compliance,75-140K,"['project management', 'construction knowledge', 'safety', 'budget control', 'contractor management', 'compliance']",construction manager project management construction knowledge safety budget control contractor management compliance
real estate agent,Construction & Real Estate,High School|Real Estate License,0,Sales|Customer Service|Marketing|Negotiation|Property Knowledge|Communication,40-100K,"['sales', 'customer service', 'marketing', 'negotiation', 'property knowledge', 'communication']",real estate agent sales customer service marketing negotiation property knowledge communication
real estate broker,Construction & Real Estate,Bachelor's in Business|Broker License,5,Sales Leadership|Real Estate Knowledge|Negotiation|Business Development|Team Management|Communication,75-180K,"['sales leadership', 'real estate knowledge', 'negotiation', 'business development', 'team management', 'communication']",real estate broker sales leadership real estate knowledge negotiation business development team management communication
architect,Construction & Real Estate,Master's in Architecture|Architecture License,3,Architectural Design|CAD|Building Codes|Creativity|Technical Knowledge|Client Communication,75-140K,"['architectural design', 'cad', 'building codes', 'creativity', 'technical knowledge', 'client communication']",architect architectural design cad building codes creativity technical knowledge client communication
landscape architect,Construction & Real Estate,Bachelor's in Landscape Architecture,2,Design|CAD|Horticulture|Environmental Knowledge|Creativity|Technical Skills,60-120K,"['design', 'cad', 'horticulture', 'environmental knowledge', 'creativity', 'technical skills']",landscape architect design cad horticulture environmental knowledge creativity technical skills
teacher,Education & Training,Bachelor's in Education|Teaching Credential,0,Instruction|Curriculum Development|Student Assessment|Communication|Classroom Management|Patience,40-80K,"['instruction', 'curriculum development', 'student assessment', 'communication', 'classroom management', 'patience']",teacher instruction curriculum development student assessment communication classroom management patience
college professor,Education & Training,Master's or PhD in subject area,3,Research|Teaching|Publication|Mentoring|Subject Matter Expertise|Communication,65-140K,"['research', 'teaching', 'publication', 'mentoring', 'subject matter expertise', 'communication']",college professor research teaching publication mentoring subject matter expertise communication
training manager,Education & Training,Bachelor's in Education|Training Certification,3,Program Design|Leadership|Instruction|Evaluation|Curriculum Development|Communication,65-115K,"['program design', 'leadership', 'instruction', 'evaluation', 'curriculum development', 'communication']",training manager program design leadership instruction evaluation curriculum development communication
instructional designer,Education & Training,Bachelor's in Education|Master's in Instructional Design,2,Course Development|Adult Learning|Technology|E-Learning|Assessment|Creativity,60-110K,"['course development', 'adult learning', 'technology', 'e-learning', 'assessment', 'creativity']",instructional designer course development adult learning technology e learning assessment creativity
school principal,Education & Training,Master's in Education|Administrative Certificate,5,Educational Leadership|Management|Budgeting|Staff Management|Community Relations|Vision,75-125K,"['educational leadership', 'management', 'budgeting', 'staff management', 'community relations', 'vision']",school principal educational leadership management budgeting staff management community relations vision
academic advisor,Education & Training,Bachelor's in Education|Bachelor's in Counseling,1,Academic Planning|Student Support|Counseling|Communication|Problem Solving|Organization,45-80K,"['academic planning', 'student support', 'counseling', 'communication', 'problem solving', 'organization']",academic advisor academic planning student support counseling communication problem solving organization
nurse,Healthcare,Bachelor's in Nursing|RN License,0,Patient Care|Medical Knowledge|Communication|Critical Thinking|Compassion|Attention to Detail,60-100K,"['patient care', 'medical knowledge', 'communication', 'critical thinking', 'compassion', 'attention to detail']",nurse patient care medical knowledge communication critical thinking compassion attention to detail
registered nurse,Healthcare,Bachelor's in Nursing|RN License,1,Nursing Care|Patient Monitoring|Medical Records|Communication|Critical Thinking|Clinical Skills,65-110K,"['nursing care', 'patient monitoring', 'medical records', 'communication', 'critical thinking', 'clinical skills']",registered nurse nursing care patient monitoring medical records communication critical thinking clinical skills
nursing manager,Healthcare,Master's in Nursing|RN License,5,Nursing Leadership|Staff Management|Patient Safety|Budget Management|Communication|Clinical Knowledge,85-140K,"['nursing leadership', 'staff management', 'patient safety', 'budget management', 'communication', 'clinical knowledge']",nursing manager nursing leadership staff management patient safety budget management communication clinical knowledge
physician,Healthcare,Medical Degree|License to Practice,3,Medical Knowledge|Diagnosis|Treatment|Patient Communication|Decision Making|Empathy,180-300K,"['medical knowledge', 'diagnosis', 'treatment', 'patient communication', 'decision making', 'empathy']",physician medical knowledge diagnosis treatment patient communication decision making empathy
surgeon,Healthcare,Medical Degree|Surgical Specialty Training|License,5,Surgical Expertise|Precision|Problem Solving|Patient Care|Research|Technical Skills,250-500K,"['surgical expertise', 'precision', 'problem solving', 'patient care', 'research', 'technical skills']",surgeon surgical expertise precision problem solving patient care research technical skills
pharmacist,Healthcare,Doctor of Pharmacy|Pharmacy License,1,Pharmacy Knowledge|Patient Counseling|Drug Interactions|Attention to Detail|Communication|Accuracy,110-160K,"['pharmacy knowledge', 'patient counseling', 'drug interactions', 'attention to detail', 'communication', 'accuracy']",pharmacist pharmacy knowledge patient counseling drug interactions attention to detail communication accuracy
physical therapist,Healthcare,Doctor of Physical Therapy|PT License,1,Physical Therapy|Patient Assessment|Exercise Prescription|Communication|Anatomy Knowledge|Compassion,85-140K,"['physical therapy', 'patient assessment', 'exercise prescription', 'communication', 'anatomy knowledge', 'compassion']",physical therapist physical therapy patient assessment exercise prescription communication anatomy knowledge compassion
occupational therapist,Healthcare,Master's in Occupational Therapy|OT License,1,Occupational Therapy|Patient Assessment|Treatment Planning|Communication|Problem Solving|Empathy,80-130K,"['occupational therapy', 'patient assessment', 'treatment planning', 'communication', 'problem solving', 'empathy']",occupational therapist occupational therapy patient assessment treatment planning communication problem solving empathy
medical technologist,Healthcare,Bachelor's in Medical Technology|Certification,1,Lab Testing|Quality Control|Analysis|Attention to Detail|Equipment Operation|Accuracy,55-95K,"['lab testing', 'quality control', 'analysis', 'attention to detail', 'equipment operation', 'accuracy']",medical technologist lab testing quality control analysis attention to detail equipment operation accuracy
healthcare administrator,Healthcare,Master's in Healthcare Administration,3,Healthcare Management|Budget Control|Leadership|Compliance|Strategic Planning|Communication,85-150K,"['healthcare management', 'budget control', 'leadership', 'compliance', 'strategic planning', 'communication']",healthcare administrator healthcare management budget control leadership compliance strategic planning communication
